full_name,email,phone,role,department
Anjali Warnakulasuriya,anjali.warnakulasuriya.adm1@lankalogix.lk,0773241886,admin,admin
Kasun Silva,kasun.silva.adm2@lankalogix.lk,0733890838,admin,admin
Sachintha Madushanka,sachintha.madushanka.adm3@lankalogix.lk,0740265423,admin,admin
Nimal Jayasinghe,nimal.jayasinghe.adm4@lankalogix.lk,0716155940,admin,admin
Harsha Jayasinghe,harsha.jayasinghe.adm5@lankalogix.lk,0761849593,admin,admin
Nuwan Gunasekara,nuwan.gunasekara.tra1@lankalogix.lk,0734131647,user,transportation
Chathura Gunawardena,chathura.gunawardena.tra2@lankalogix.lk,0755341928,user,transportation
Chamara Abeysekera,chamara.abeysekera.tra3@lankalogix.lk,0764835030,user,transportation
Asanka Rajapaksha,asanka.rajapaksha.tra4@lankalogix.lk,0713953767,user,transportation
Sampath Samarasinghe,sampath.samarasinghe.tra5@lankalogix.lk,0788496965,user,transportation
Sampath Dissanayake,sampath.dissanayake.tra6@lankalogix.lk,0771012269,user,transportation
Sachini Kumara,sachini.kumara.tra7@lankalogix.lk,0778480184,user,transportation
Nimal Jayasinghe,nimal.jayasinghe.tra8@lankalogix.lk,0746270482,user,transportation
Tharindu Mallawarachchi,tharindu.mallawarachchi.tra9@lankalogix.lk,0748932528,user,transportation
Arosha Dissanayake,arosha.dissanayake.tra10@lankalogix.lk,0709570154,user,transportation
Pradeep Madushanka,pradeep.madushanka.tra11@lankalogix.lk,0711718227,user,transportation
Chamara Rajapaksha,chamara.rajapaksha.tra12@lankalogix.lk,0789638346,user,transportation
Roshan Herath,roshan.herath.tra13@lankalogix.lk,0778713315,user,transportation
Hiruni Samarasinghe,hiruni.samarasinghe.tra14@lankalogix.lk,0793010310,user,transportation
Dilan Dissanayake,dilan.dissanayake.tra15@lankalogix.lk,0734738299,user,transportation
Yasiru Peiris,yasiru.peiris.tra16@lankalogix.lk,0763116566,user,transportation
Sanjeewa Fernando,sanjeewa.fernando.tra17@lankalogix.lk,0710651333,user,transportation
Sampath Senanayake,sampath.senanayake.tra18@lankalogix.lk,0724731781,user,transportation
Hiruni Jayawardena,hiruni.jayawardena.tra19@lankalogix.lk,0701326773,user,transportation
Niroshan Fernando,niroshan.fernando.tra20@lankalogix.lk,0726064746,user,transportation
